jours_depuis_conception,probabilite
200,1.0137407226125546e-09
201,1.665582567507282e-09
202,2.717624860987295e-09
203,4.403488971838426e-09
204,7.0857917657374176e-09
205,1.1323063000946098e-08
206,1.796898425750453e-08
207,2.8318301336283157e-08
208,4.431950850238053e-08
209,6.888215699255076e-08
210,1.063169739871252e-07
211,1.629605726497123e-07
212,2.480541762309931e-07
213,3.749683488330756e-07
214,5.62894160970917e-07
215,8.391564615619782e-07
216,1.242347837848489e-06
217,1.8265330716288985e-06
218,2.666833719520715e-06
219,3.8667705429819704e-06
220,5.567816726443719e-06
221,7.961694832673395e-06
222,1.1306031454028054e-05
223,1.5944059908159412e-05
224,2.232912535142808e-05
225,3.1054788235737116e-05
226,4.289132854342442e-05
227,5.882940976119001e-05
228,8.013155116015011e-05
229,0.00010839186141407382
230,0.00014560418753184007
231,0.000194238413540246
232,0.0002573240898177922
233,0.0003385398788395816
234,0.0004423064674050856
235,0.0005738796318087401
236,0.0007394390778548353
237,0.0009461675557846288
238,0.0012023136329571563
239,0.0015172304748689255
240,0.0019013821352699377
241,0.00236630829989067
242,0.0029245382848415154
243,0.003589445479371
244,0.0043750344526304425
245,0.00529565470280523
246,0.006365637567236035
247,0.007598856139457526
248,0.009008212100263147
249,0.010605058044565876
250,0.012398568981858805
251,0.01439508194190218
252,0.01659742769598927
253,0.0190042830925443
254,0.021609575806764546
255,0.02440197420733979
256,0.027364490270737337
257,0.030474203694938102
258,0.033702056658886
259,0.03701252018175893
260,0.04036261401058026
261,0.04369920771204403
262,0.046952847805759326
263,0.050026094349130246
264,0.05277568525724453
265,0.05499214992634857
266,0.05638780990661607
267,0.05661104155018696
268,0.055304003839099405
269,0.05220579826446272
270,0.04727461857377875
271,0.040775892819449946
272,0.03328109227999774
273,0.025555573827889186
274,0.018369481545310807
275,0.012308483170433069
276,0.007661124916548021
277,0.004416853852868645
278,0.002353111796844109
279,0.0006937346254891723
280,0.0001883323943263841
281,4.701856715760618e-05
282,1.0783404807558774e-05
283,2.269827049027921e-06
284,4.381792722063728e-07
285,7.752765738070301e-08
286,1.2565303772886688e-08
287,1.864666287898079e-09
288,2.532618800943547e-10
289,3.14725194320676e-11
290,3.5773237271659842e-12
291,3.7182499964023347e-13
292,3.533255092852068e-14
293,3.068892568900572e-15
294,2.436031493310651e-16
295,1.7668978316106754e-17
296,1.1708667484659216e-18
297,7.087899174153066e-20
298,3.919165959597368e-21
299,1.9792136807557956e-22
300,9.128000575051649e-24
